ID,endpoint
C670741,https://myntfintech.testrail.io/index.php?/api/v2/get_case/670741
C670743,https://myntfintech.testrail.io/index.php?/api/v2/get_case/670743
C670745,https://myntfintech.testrail.io/index.php?/api/v2/get_case/670745
C670747,https://myntfintech.testrail.io/index.php?/api/v2/get_case/670747
C670754,https://myntfintech.testrail.io/index.php?/api/v2/get_case/670754
C670756,https://myntfintech.testrail.io/index.php?/api/v2/get_case/670756
C670758,https://myntfintech.testrail.io/index.php?/api/v2/get_case/670758
C670760,https://myntfintech.testrail.io/index.php?/api/v2/get_case/670760
C670762,https://myntfintech.testrail.io/index.php?/api/v2/get_case/670762
C670764,https://myntfintech.testrail.io/index.php?/api/v2/get_case/670764
C670817,https://myntfintech.testrail.io/index.php?/api/v2/get_case/670817
C670819,https://myntfintech.testrail.io/index.php?/api/v2/get_case/670819
C670821,https://myntfintech.testrail.io/index.php?/api/v2/get_case/670821
C670823,https://myntfintech.testrail.io/index.php?/api/v2/get_case/670823
C670825,https://myntfintech.testrail.io/index.php?/api/v2/get_case/670825
C670827,https://myntfintech.testrail.io/index.php?/api/v2/get_case/670827
C670834,https://myntfintech.testrail.io/index.php?/api/v2/get_case/670834
C670836,https://myntfintech.testrail.io/index.php?/api/v2/get_case/670836
C670838,https://myntfintech.testrail.io/index.php?/api/v2/get_case/670838
C670840,https://myntfintech.testrail.io/index.php?/api/v2/get_case/670840
C670842,https://myntfintech.testrail.io/index.php?/api/v2/get_case/670842
C670844,https://myntfintech.testrail.io/index.php?/api/v2/get_case/670844
C963761,https://myntfintech.testrail.io/index.php?/api/v2/get_case/963761
C963762,https://myntfintech.testrail.io/index.php?/api/v2/get_case/963762
C963763,https://myntfintech.testrail.io/index.php?/api/v2/get_case/963763
C963764,https://myntfintech.testrail.io/index.php?/api/v2/get_case/963764
C963765,https://myntfintech.testrail.io/index.php?/api/v2/get_case/963765
C963766,https://myntfintech.testrail.io/index.php?/api/v2/get_case/963766
C963767,https://myntfintech.testrail.io/index.php?/api/v2/get_case/963767
C963768,https://myntfintech.testrail.io/index.php?/api/v2/get_case/963768
C963769,https://myntfintech.testrail.io/index.php?/api/v2/get_case/963769
C963770,https://myntfintech.testrail.io/index.php?/api/v2/get_case/963770
C963771,https://myntfintech.testrail.io/index.php?/api/v2/get_case/963771
C963803,https://myntfintech.testrail.io/index.php?/api/v2/get_case/963803
C963804,https://myntfintech.testrail.io/index.php?/api/v2/get_case/963804
C963805,https://myntfintech.testrail.io/index.php?/api/v2/get_case/963805
C963806,https://myntfintech.testrail.io/index.php?/api/v2/get_case/963806
C963807,https://myntfintech.testrail.io/index.php?/api/v2/get_case/963807
C963808,https://myntfintech.testrail.io/index.php?/api/v2/get_case/963808
C963814,https://myntfintech.testrail.io/index.php?/api/v2/get_case/963814
C963815,https://myntfintech.testrail.io/index.php?/api/v2/get_case/963815
C963816,https://myntfintech.testrail.io/index.php?/api/v2/get_case/963816
C92523,https://myntfintech.testrail.io/index.php?/api/v2/get_case/92523
C92524,https://myntfintech.testrail.io/index.php?/api/v2/get_case/92524
C92526,https://myntfintech.testrail.io/index.php?/api/v2/get_case/92526
C92527,https://myntfintech.testrail.io/index.php?/api/v2/get_case/92527
C92529,https://myntfintech.testrail.io/index.php?/api/v2/get_case/92529
C92530,https://myntfintech.testrail.io/index.php?/api/v2/get_case/92530
C117491,https://myntfintech.testrail.io/index.php?/api/v2/get_case/117491
C117493,https://myntfintech.testrail.io/index.php?/api/v2/get_case/117493
C117495,https://myntfintech.testrail.io/index.php?/api/v2/get_case/117495
C117501,https://myntfintech.testrail.io/index.php?/api/v2/get_case/117501
C117504,https://myntfintech.testrail.io/index.php?/api/v2/get_case/117504
C117505,https://myntfintech.testrail.io/index.php?/api/v2/get_case/117505
C117506,https://myntfintech.testrail.io/index.php?/api/v2/get_case/117506
C117507,https://myntfintech.testrail.io/index.php?/api/v2/get_case/117507
